timestamp_ns,thread_index,role,event,item_id
141975391,3,C,C_REQ,-1
141977202,3,C,C_DONE,128
143379998,0,C,C_REQ,-1
143387366,1,P,P_REQ,129
143391081,1,P,P_DONE,129
143394571,4,P,P_REQ,130
143395822,4,P,P_DONE,130
143397968,2,C,C_REQ,-1
143398976,2,C,C_DONE,129
143407894,0,C,C_DONE,130
145020892,0,P,P_REQ,131
145022871,0,P,P_DONE,131
145024970,0,P,P_REQ,132
145025122,0,P,P_DONE,132
145029113,3,P,P_REQ,133
145030134,3,P,P_DONE,133
145930541,1,P,P_REQ,134
145932414,1,P,P_DONE,134
145937107,4,P,P_REQ,135
145938065,4,P,P_DONE,135
147181227,0,P,P_REQ,136
147183618,0,P,P_DONE,136
148228061,2,P,P_REQ,137
148233616,2,P,P_DONE,137
148228057,1,C,C_REQ,-1
148235732,1,C,C_DONE,131
148235882,2,P,P_REQ,138
148236097,2,P,P_DONE,138
148245457,4,C,C_REQ,-1
148247156,4,C,C_DONE,132
148249371,4,C,C_REQ,-1
148249506,4,C,C_DONE,133
148517851,0,C,C_REQ,-1
148520003,0,C,C_DONE,134
149454747,3,C,C_REQ,-1
149479798,4,P,P_REQ,139
149481914,4,P,P_DONE,139
149484436,4,P,P_REQ,140
149484621,4,P,P_DONE,140
149486353,3,C,C_DONE,135
149474198,1,C,C_REQ,-1
149501334,1,C,C_DONE,136
150751321,2,P,P_REQ,141
150753757,2,P,P_DONE,141
150753827,4,P,P_REQ,142
150755324,4,P,P_DONE,142
151333320,3,P,P_REQ,143
151335132,3,P,P_DONE,143
152045505,2,P,P_REQ,144
152047618,2,P,P_DONE,144
153439084,2,C,C_REQ,-1
153441287,2,C,C_DONE,137
153446655,1,P,P_REQ,145
153448044,1,P,P_DONE,145
153450607,3,P,P_REQ,146
153451526,3,P,P_DONE,146
154538912,4,C,C_REQ,-1
154541088,4,C,C_DONE,138
155975135,0,P,P_REQ,147
155977294,0,P,P_DONE,147
155979359,0,P,P_REQ,148
155979504,0,P,P_DONE,148
155983243,3,P,P_REQ,149
156048513,0,C,C_REQ,-1
156056019,0,C,C_DONE,139
156063532,3,P,P_DONE,149
157344545,0,C,C_REQ,-1
157346432,0,C,C_DONE,140
159525698,3,C,C_REQ,-1
159528069,3,C,C_DONE,141
159539936,2,P,P_REQ,150
159541140,2,P,P_DONE,150
159544005,1,C,C_REQ,-1
159545071,1,C,C_DONE,142
160830950,2,P,P_REQ,151
160832815,2,P,P_DONE,151
160837821,4,P,P_REQ,152
160839009,4,P,P_DONE,152
160841663,2,C,C_REQ,-1
160842693,2,C,C_DONE,143
160874169,3,P,P_REQ,153
160875987,3,P,P_DONE,153
162907648,1,P,P_REQ,154
162915948,0,C,C_REQ,-1
162929281,0,C,C_DONE,144
162936945,1,P,P_DONE,154
162940806,1,P,P_REQ,155
164910222,4,C,C_REQ,-1
164917468,4,C,C_DONE,145
164923776,1,P,P_DONE,155
164923936,0,P,P_REQ,156
164923939,1,C,C_REQ,-1
164950894,1,C,C_DONE,146
164955124,0,P,P_DONE,156
165978387,4,C,C_REQ,-1
165980047,4,C,C_DONE,147
166357417,2,C,C_REQ,-1
166359380,2,C,C_DONE,148
167680666,0,C,C_REQ,-1
167685442,0,C,C_DONE,149
167680664,3,C,C_REQ,-1
167688510,3,C,C_DONE,150
168977181,3,C,C_REQ,-1
168979166,3,C,C_DONE,151
170341260,0,P,P_REQ,157
170343567,0,P,P_DONE,157
170348055,2,P,P_REQ,158
170349368,2,P,P_DONE,158
170352394,3,P,P_REQ,159
170353543,3,P,P_DONE,159
170355730,4,P,P_REQ,160
170357946,4,P,P_DONE,160
171016875,4,C,C_REQ,-1
171018851,4,C,C_DONE,152
171024483,1,P,P_REQ,161
171025765,1,P,P_DONE,161
172312305,4,C,C_REQ,-1
172314166,4,C,C_DONE,153
172319119,1,C,C_REQ,-1
172320444,1,C,C_DONE,154
172755550,0,C,C_REQ,-1
172757541,0,C,C_DONE,155
172762746,3,P,P_REQ,162
172763826,3,P,P_DONE,162
173575986,1,P,P_REQ,163
173577842,1,P,P_DONE,163
173582093,1,C,C_REQ,-1
173583142,1,C,C_DONE,156
173591398,3,C,C_REQ,-1
173593493,3,C,C_DONE,157
173599581,2,C,C_REQ,-1
173600792,2,C,C_DONE,158
173601982,2,C,C_REQ,-1
173602138,2,C,C_DONE,159
174046357,0,C,C_REQ,-1
174048244,0,C,C_DONE,160
174866740,1,P,P_REQ,164
174868617,1,P,P_DONE,164
174870500,1,P,P_REQ,165
174870650,1,P,P_DONE,165
174935791,2,P,P_REQ,166
174936857,2,P,P_DONE,166
174939555,4,P,P_REQ,167
174940504,4,P,P_DONE,167
176135658,1,C,C_REQ,-1
176140208,1,C,C_DONE,161
176136054,2,C,C_REQ,-1
176142596,2,C,C_DONE,162
176148885,0,C,C_REQ,-1
176153990,0,C,C_DONE,163
176148881,2,P,P_REQ,168
176156484,2,P,P_DONE,168
178634710,3,C,C_REQ,-1
178636851,3,C,C_DONE,164
178639325,3,C,C_REQ,-1
178639461,3,C,C_DONE,165
178643420,1,C,C_REQ,-1
178644527,1,C,C_DONE,166
178645385,1,C,C_REQ,-1
178645537,1,C,C_DONE,167
181082165,3,C,C_REQ,-1
181084106,3,C,C_DONE,168
181575583,0,P,P_REQ,169
181578247,0,P,P_DONE,169
181584347,4,C,C_REQ,-1
181585530,4,C,C_DONE,169
181589269,2,C,C_REQ,-1
182433170,1,C,C_REQ,-1
182441116,4,P,P_REQ,170
182454293,4,P,P_DONE,170
182458913,2,C,C_DONE,170
183231151,3,P,P_REQ,171
183241673,3,P,P_DONE,171
183256631,1,C,C_DONE,171
184308294,1,P,P_REQ,172
184310430,1,P,P_DONE,172
184593872,4,P,P_REQ,173
184595512,4,P,P_DONE,173
184872540,3,C,C_REQ,-1
184874769,3,C,C_DONE,172
185599575,1,P,P_REQ,174
185601473,1,P,P_DONE,174
185609713,4,P,P_REQ,175
185610706,4,P,P_DONE,175
186165322,3,C,C_REQ,-1
186167162,3,C,C_DONE,173
186172464,0,C,C_REQ,-1
186173680,0,C,C_DONE,174
186176279,2,C,C_REQ,-1
186177520,2,C,C_DONE,175
186195553,2,P,P_REQ,176
186197740,2,P,P_DONE,176
187876066,4,C,C_REQ,-1
187878072,4,C,C_DONE,176
187888769,4,P,P_REQ,177
187890171,4,P,P_DONE,177
187893189,1,C,C_REQ,-1
187894155,1,C,C_DONE,177
189438722,3,P,P_REQ,178
189440782,3,P,P_DONE,178
190368254,0,P,P_REQ,179
